name;nl_name;en_name;gini;absoluut-gino;freedom;absoluut-inwoner-aantal;gemiddeld-ink;jobs-avail;werkloosheid;discrimi
IS;IJsland;Iceland;6;27;8.5;329100;2334;1.61;10845;5
TR;Turkije;Turkey;20;40;45.87;77695904;510;0.83;5449202;26
CH;Zwitserland;Switzerland;12;31.8;10.47;8236573;2930;1.22;236637;31
LI;Liechtenstein;Liechtenstein;12;31.8;7.02;37369;5314;1.21;726;31
EE;Estland;Estonia;13;32.7;9.63;1313271;832;1.43;74351;32
LV;Letland;Latvia;16;36;21.1;1986096;379;0.4;167825;34
LT;Litouwen;Lithuania;12.5;32.6;19.2;2921262;496;0.93;244378;43
CZ;Tsjechie;Czech Republic;6;26.4;10.07;10538275;725;1.21;480861;48
ES;Spanje;Spain;16;36;6.4;46439864;1702;0.64;8750896;49
LU;Luxenburg;Luxembourg;13;32.4;6.7;562958;3187;1;23785;49
RS;Servie;Serbia;10;30;25.05;7000000;377;0.81;1183000;50
ME;Montenegro;Montenegro;10.5;30.6;6.46;622099;726;0.82;76223;50.1
CY;Cyprus;Cyprus;13;32.6;14.45;847008;2223;1.21;100201;50.2
DK;Denemarken;Denmark;8.5;29.5;7.43;5659715;2389;1.62;263035;50.3
MT;Malta;Malta;7;28;6.52;429344;1006;3.11;17414;51
PL;Polen;Poland;13;32.8;11.03;38005614;634;0.5;2472835;52
AT;Oostenrijk;Austria;11;30.8;10.01;8584926;2165;1.63;355459;57
DE;Duitsland;Germany;10;30.1;10.23;81174000;2155;2.81;3223825;58
NO;Noorwegen;Norway;4.5;25.5;17.73;5165802;3850;2.61;122223;59
GR;Griekenland;Greece;15.5;35.7;20.63;10812467;1262;1.02;2265861;60
IT;Italie;Italy;14.5;34.5;23.75;60795612;2030;0.62;8219567;61
HR;Croatie;Croatia;14;34.2;26.82;4225316;755;1.01;521277;61.1
IE;Ierland;Ireland;13;33.3;10.87;4625885;2186;0.71;390887;66
SI;Slovenie;Slovenia;5;24.9;20.38;2062874;1023;1.32;155138;67
SK;Slowakije;Slovakia;6;26.5;11.39;5421349;664;0.91;540563;72
NL;Nederland;Netherlands;7;28;11.03;16900726;2158;1.41;928272;73
FR;Frankrijk;France;13;33.3;31.33;66352469;2183;0.61;4933970;77
FI;Finland;Finland;6.5;27.6;21.89;5471753;2479;1.33;323654;77.1
RO;Romenie;Romania;6;27.2;23.48;19861408;345;0.92;923059;78
BE;Belgie;Belgium;7.5;28.4;12.8;11258434;2092;2.41;694477;78.2
HU;Hongarije;Hungary;8;28.9;26.73;9849000;532;1.42;557601;83
SE;Zweden;Sweden;6;27.2;8.98;9747355;2825;1.81;469481;85
UK;Verenigd Koninkrijk;United Kingdom;10;30;19.93;64767115;2233;2.31;2408041;85.1
PT;Portugal;Portugal;16;36.3;17.73;10374822;1056;0.63;1095841;88
BG;Bulgarije;Bulgaria;14;34.2;31.42;7202198;324;0.72;1034596;89
