name,nl_name,en_name,gini,absoluut-gino,freedom,absoluut-inwoner-aantal,gemiddeld-ink,jobs-avail,werkloosheid,discrimi
AT,Oostenrijk,Austria,10.5,30.8,10.01,8584926,2165,1.6,355459,57
BE,Belgie,Belgium,7.5,28.4,12.8,11258434,2092,2.4,694477,78
BG,Bulgarije,Bulgaria,14,34.2,31.42,7202198,324,0.7,1034596,89
HR,Croatie,Croatia,14,34.2,26.82,4225316,755,1.0,521277,61
CY,Cyprus,Cyprus,12.5,32.6,14.45,847008,2223,1.2,100201,50
CZ,Tsjechie,Czech Republic,5.5,26.4,10.07,10538275,725,1.2,480861,48
DK,Denemarken,Denmark,8.5,29.5,7.43,5659715,2389,1.6,263035,50
EE,Estland,Estonia,12.5,32.7,9.63,1313271,832,1.4,74351,32
FI,Finland,Finland,6.5,27.6,21.89,5471753,2479,1.3,323654,77
FR,Frankrijk,France,13,33.3,31.33,66352469,2183,0.6,4933970,77
DE,Duitsland,Germany,10,30.1,10.23,81174000,2155,2.8,3223825,58
GR,Griekenland,Greece,15.5,35.7,20.63,10812467,1262,1.0,2265861,60
HU,Hongarije,Hungary,8,28.9,26.73,9849000,532,1.4,557601,83
IS,IJsland,Iceland,6,27,8.5,329100,2334,1.6,10845,5
IE,Ierland,Ireland,13,33.3,10.87,4625885,2186,0.7,390887,66
IT,Italie,Italy,14.5,34.5,23.75,60795612,2030,0.6,8219567,61
LV,Letland,Latvia,16,36,21.1,1986096,379,0.4,167825,34
LI,Liechtenstein,Liechtenstein,11.5,31.8,7.02,37369,5314,1.2,726,31
LT,Litouwen,Lithuania,12.5,32.6,19.2,2921262,496,0.9,244378,43
LU,Luxenburg,Luxembourg,12.5,32.4,6.7,562958,3187,1.0,23785,49
MT,Malta,Malta,7,28,6.52,429344,1006,3.1,17414,51
ME,Montenegro,Montenegro,10.5,30.6,6.46,622099,726,0.8,76223,50
NL,Nederland,Netherlands,7,28,11.03,16900726,2158,1.4,928272,73
NO,Noorwegen,Norway,4.5,25.5,17.73,5165802,3850,2.6,122223,59
PL,Polen,Poland,12.5,32.8,11.03,38005614,634,0.5,2472835,52
PT,Portugal,Portugal,16,36.3,17.73,10374822,1056,0.6,1095841,88
RO,Romenie,Romania,6,27.2,23.48,19861408,345,0.9,923059,78
RS,Servie,Serbia,10,30,25.05,7000000,377,0.8,1183000,50
SK,Slowakije,Slovakia,5.5,26.5,11.39,5421349,664,0.9,540563,72
SI,Slovenie,Slovenia,5,24.9,20.38,2062874,1023,1.3,155138,67
ES,Spanje,Spain,16,36,6.4,46439864,1702,0.6,8750896,49
SE,Zweden,Sweden,6,27.2,8.98,9747355,2825,1.8,469481,85
CH,Zwitserland,Switzerland,11.5,31.8,10.47,8236573,2930,1.2,236637,31
TR,Turkije,Turkey,20,40,45.87,77695904,510,0.8,5449202,26
UK,Verenigd Koninkrijk,United Kingdom,10,30,19.93,64767115,2233,2.3,2408041,85
