code,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
AT,27.6,27.0,27.6,27.4,28.3,27.5,27.7,26.2,25.3,26.3,25.8,27.4,-1,24,24,26,24,25,26,27
BE,25.9,25.9,26.5,26.3,26.6,26.4,27.5,26.3,27.8,28.0,26.1,28.3,-1,28,30,29,27,27,28,29
BG,35.4,35.4,33.6,35.0,33.2,33.4,35.9,35.3,31.2,25,26,24,26,26,25,-1,-1,-1,-1,-1
CH,-1,28.5,28.8,29.7,29.6,30.7,31.1,30.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CY,34.8,32.4,31.0,29.2,30.1,29.5,29.0,29.8,28.8,28.7,-1,27,-1,-1,-1,-1,-1,29,-1,-1
CZ,25.1,24.6,24.9,25.2,24.9,25.1,24.7,25.3,25.3,26.0,-1,-1,-1,25,-1,-1,-1,-1,-1,-1
DE,30.7,29.7,28.3,29.0,29.3,29.1,30.2,30.4,26.8,26.1,-1,-1,-1,25,25,25,25,25,27,29
DK,27.5,27.5,28.1,27.8,26.9,26.9,25.1,25.2,23.7,23.9,23.9,24.8,-1,22,-1,21,-1,20,-1,20
EE,-1,32.9,32.5,31.9,31.3,31.4,30.9,33.4,33.1,34.1,37.4,34,35,35,36,-1,-1,-1,-1,-1
EL,34.5,34.4,34.3,33.5,32.9,33.1,33.4,34.3,34.3,33.2,33.0,34.7,-1,33,33,34,35,35,34,35
ES,34.7,33.7,34.2,34.0,33.5,32.9,31.9,31.9,31.9,32.2,31.0,31,31,33,32,33,34,35,34,34
FI,25.6,25.4,25.9,25.8,25.4,25.9,26.3,26.2,25.9,26.0,25.5,26,26,27,24,24,22,22,22,-1
FR,29.2,30.1,30.5,30.8,29.8,29.9,29.8,26.6,27.3,27.7,28.2,27,27,27,28,29,28,29,29,29
HR,-1,30.9,30.9,31.2,31.6,27,28,29,28,30,30,29,-1,-1,-1,-1,-1,-1,-1,-1
HU,27.9,28.0,26.9,26.8,24.1,24.7,25.2,25.6,33.3,27.6,-1,27,24,25,26,-1,-1,-1,-1,-1
IE,-1,30.0,29.9,29.8,30.7,28.8,29.9,31.3,31.9,31.9,31.5,30.6,-1,29,30,32,34,33,33,33
IS,-1,24.0,24.0,23.6,25.7,29.6,27.3,28.0,26.3,25.1,24.1,-1,-1,-1,-1,-1,-1,-1,-1,-1
IT,32.7,32.5,31.9,31.9,31.2,31.5,31.0,32.2,32.1,32.8,33.2,-1,-1,29,29,30,31,31,32,33
LT,35.0,34.6,32.0,33.0,37.0,35.9,34.5,33.8,35.0,36.3,-1,-1,-1,31,31,-1,-1,-1,-1,-1
LU,-1,30.4,28.0,27.2,27.9,29.2,27.7,27.4,27.8,26.5,26.5,27.6,-1,27,26,27,26,25,28,29
LV,35.5,35.2,35.7,35.1,35.9,37.5,37.5,35.4,38.9,36.2,-1,-1,-1,-1,34,-1,-1,-1,-1,-1
MK,-1,37.0,38.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MT,27.7,27.9,27.1,27.2,28.6,27.4,28.1,26.3,27.1,27.0,-1,-1,-1,-1,30,-1,-1,-1,-1,-1
NL,26.3,25.1,25.4,25.8,25.5,27.2,27.6,27.6,26.4,26.9,-1,27,27,27,29,26,25,26,29,29
NO,-1,22.7,22.5,22.9,23.6,24.1,25.1,23.7,29.2,28.2,25.2,26.6,-1,-1,-1,-1,-1,-1,-1,-1
PL,30.8,30.7,30.9,31.1,31.1,31.4,32.0,32.2,33.3,35.6,-1,-1,-1,30,30,-1,-1,-1,-1,-1
PT,-1,34.2,34.5,34.2,33.7,35.4,35.8,36.8,37.7,38.1,37.8,-1,-1,37,36,36,37,36,36,37
RO,34.7,34.0,33.2,33.2,33.3,34.9,36.0,37.8,33,31,31,30,30,30,29,-1,-1,-1,-1,-1
RS,-1,38.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SE,25.4,24.9,24.8,24.4,24.1,24.8,24.0,23.4,24.0,23.4,23.0,-1,23,24,-1,22,-1,21,-1,-1
SI,25.0,24.4,23.7,23.8,23.8,22.7,23.4,23.2,23.7,23.8,-1,22,22,22,22,-1,-1,-1,-1,-1
SK,26.1,24.2,25.3,25.7,25.9,24.8,23.7,24.5,28.1,26.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TR,-1,-1,-1,-1,-1,-1,-1,-1,44.8,-1,0,45,46,-1,-1,-1,-1,-1,-1,-1
UK,-1,30.2,31.3,33.0,32.9,32.4,33.9,32.6,32.5,34.6,-1,34,35,35,32,32,32,30,32,32
