name;2014;dif2014;sco2014;code;iso;capitale;latitude;longitude
Finland;1;( - );6.4;FI;FIN;Helsinki;60.15N;25.03E
Netherlands;2;( - );6.46;NL;NLD;Amsterdam;52.23N;04.54E
Norway;3;( - );6.52;NO;NOR;Oslo;59.55N;10.45E
Luxembourg;4;( - );6.7;LU;LUX;Luxembourg;49.37N;06.09E
Andorra;5;( - );6.82;AD;AND;Andorra la Vella;42.31N;1.32E
Liechtenstein;6;(+ 1);7.02;LI;LIE;Vaduz;47.08N;9.31E
Denmark;7;(- 1);7.43;DK;DNK;Copenhagen;55.41N;12.34E
Iceland;8;(+ 1);8.5;IS;ISL;Reykjavik;64.10N;21.57W
New Zealand;9;(- 1);8.55;;NZL;Wellington;41.19S;174.46E
Sweden;10;( - );8.98;SE;SWE;Stockholm;59.20N;18.03E
Estonia;11;( - );9.63;EE;EST;Tallinn;59.22N;24.48E
Austria;12;( - );10.01;AT;AUT;Vienna;48.12N;16.22E
Czech Republic;13;(+ 3);10.07;CZ;CZE;Prague;50.05N;14.22E
Germany;14;(+ 3);10.23;DE;DEU;Berlin;52.30N;13.25E
Switzerland;15;(- 1);10.47;CH;CHE;Bern;46.57N;07.28E
Ireland;16;(- 1);10.87;IE;IRL;Dublin;53.21N;06.15W
Jamaica;17;(- 4);10.9;;JAM;Kingston;18.00N;76.50W
Canada;18;(+ 2);10.99;;CAN;Ottawa;45.27N;75.42W
Poland;19;(+ 3);11.03;PO;POL;Warsaw;52.13N;21.00E
Slovakia;20;(+ 3);11.39;SK;SVK;Bratislava;48.10N;17.07E
Costa Rica;21;(- 3);12.23;;CRI;San Jose;09.55N;84.02W
Namibia;22;(- 3);12.5;;NAM;Windhoek;22.35S;17.04E
Belgium;23;(- 2);12.8;BE;BEL;Brussels;50.51N;04.21E
Cape Verde;24;(+ 1);14.32;;CPV;Praia;15.02N;23.34W
Cyprus;25;(- 1);14.45;CY;CYP;Nicosia;35.10N;33.25E
Uruguay;26;(+ 1);16.08;;URY;Montevideo;34.50S;56.11W
Ghana;27;(+ 3);16.29;;GHA;Accra;05.35N;00.06W
Australia;28;(- 2);16.91;;AUS;Canberra;35.15S;149.08E
Belize;29;( - );17.05;;BLZ;Belmopan;17.15N;88.46W
Portugal;30;(- 1);17.73;PT;PRT;Lisbon;38.42N;09.10W
Suriname;31;(+ 1);18.2;;SUR;Paramaribo;05.50N;55.10W
Lithuania;32;(+ 2);19.2;;LTU;Vilnius;54.38N;25.19E
United Kingdom;33;(- 3);19.93;UK;GBR;London;51.36N;00.05W
Slovenia;34;(+ 2);20.38;SI;SVN;Ljubljana;46.04N;14.33E
Spain;35;(+ 2);20.63;ES;ESP;Madrid;40.25N;03.45W
Antigua and Barbuda;36;(- 1);20.81;;ATG;West Indies;17.20N;61.48W
Latvia;37;(+ 3);21.1;;LVA;Riga;56.53N;24.08E
El Salvador;38;(+ 1);21.57;;SLV;San Salvador;13.40N;89.10W
France;39;(- 1);21.89;FR;FRA;Paris;48.50N;02.20E
Samoa;40;(+ 9);22.02;;WSM;Apia;13.50S;171.50W
Botswana;41;( - );22.91;;BWA;Gaborone;24.45S;25.57E
South Africa;42;(+ 11);23.19;;ZAF;Pretoria;25.44S;28.12E
Trinidad and Tobago;43;(+ 2);23.28;;TTO;Port-d'Espagne;10.39N;30W
