name,2014,dif2014,sco2014,code,iso,capitale,latitude,longitude
Finland,1,( - ),6.4,FI,FIN,Helsinki,60.15N,25.03E
Netherlands,2,( - ),6.46,NL,NLD,Amsterdam,52.23N,04.54E
Norway,3,( - ),6.52,NO,NOR,Oslo,59.55N,10.45E
Luxembourg,4,( - ),6.7,LU,LUX,Luxembourg,49.37N,06.09E
Andorra,5,( - ),6.82,AD,AND,Andorra la Vella,42.31N,1.32E
Liechtenstein,6,(+ 1),7.02,LI,LIE,Vaduz,47.08N,9.31E
Denmark,7,(- 1),7.43,DK,DNK,Copenhagen,55.41N,12.34E
Iceland,8,(+ 1),8.5,IS,ISL,Reykjavik,64.10N,21.57W
Sweden,10,( - ),8.98,SE,SWE,Stockholm,59.20N,18.03E
Estonia,11,( - ),9.63,EE,EST,Tallinn,59.22N,24.48E
Austria,12,( - ),10.01,AT,AUT,Vienna,48.12N,16.22E
Czech Republic,13,(+ 3),10.07,CZ,CZE,Prague,50.05N,14.22E
Germany,14,(+ 3),10.23,DE,DEU,Berlin,52.30N,13.25E
Switzerland,15,(- 1),10.47,CH,CHE,Bern,46.57N,07.28E
Ireland,16,(- 1),10.87,IE,IRL,Dublin,53.21N,06.15W
Poland,19,(+ 3),11.03,PO,POL,Warsaw,52.13N,21.00E
Slovakia,20,(+ 3),11.39,SK,SVK,Bratislava,48.10N,17.07E
Belgium,23,(- 2),12.8,BE,BEL,Brussels,50.51N,04.21E
Cyprus,25,(- 1),14.45,CY,CYP,Nicosia,35.10N,33.25E
Portugal,30,(- 1),17.73,PT,PRT,Lisbon,38.42N,09.10W
Lithuania,32,(+ 2),19.2,LT,LTU,Vilnius,54.38N,25.19E
United Kingdom,33,(- 3),19.93,UK,GBR,London,51.36N,00.05W
Slovenia,34,(+ 2),20.38,SI,SVN,Ljubljana,46.04N,14.33E
Spain,35,(+ 2),20.63,ES,ESP,Madrid,40.25N,03.45W
Antigua and Barbuda,36,(- 1),20.81,AG,ATG,West Indies,17.20N,61.48W
Latvia,37,(+ 3),21.1,LV,LVA,Riga,56.53N,24.08E
France,39,(- 1),21.89,FR,FRA,Paris,48.50N,02.20E
Romania,45,(- 2),23.48,RO,ROU,Bucuresti,44.27N,26.10E
Italy,49,(+ 9),23.75,IT,ITA,Rome,41.54N,12.29E
Serbia,54,(+ 10),25.05,CS,SRB,Belgrade,44.48N,20.23E
Hungary,64,(- 7),26.73,HU,HUN,Budapest,47.29N,19.05E
Croatia,65,( - ),26.82,HR,HRV,Zagreb,45.50N,15.58E
Bosnia and Herzegovina,66,(+ 3),26.86,BA,BIH,Sarajevo,43.52N,18.26E
Greece,99,(- 14),31.33,GR,GRC,Athens,37.58N,23.46E
Bulgaria,100,(- 12),31.42,BG,BGR,Sofia,42.45N,23.20E
Turkey,154,(+ 1),45.87,TR,TUR,Ankara,39.57N,32.54E
